"Kode Mapel","Nama Mapel",Kelas,"Jam Per Minggu",Deskripsi,Semester,"Tahun Ajaran",Status,"NIK/Kode Guru"
PROJEK_KREATIF_DAN_KEWIRAUSAHA,"Projek Kreatif dan Kewirausahaan",,2,,ganjil,2025/2026,aktif,31
PROSES_INDUSTRI_KIMIA,"Proses Industri Kimia",,2,,ganjil,2025/2026,aktif,31
MATEMATIKA,Matematika,,2,,ganjil,2025/2026,aktif,32
BISNIS_DIGITAL,"Bisnis Digital",,2,,ganjil,2025/2026,aktif,32
TEKNOLOGI_PERKANTORAN,"Teknologi Perkantoran",,2,,ganjil,2025/2026,aktif,32
BISNIS_DIGITAL,"Bisnis Digital",,2,,ganjil,2025/2026,aktif,32
AL_QURAN_HADITS,"Al Quran Hadits",,2,,ganjil,2025/2026,aktif,33
PROJEK_KREATIF_DAN_KEWIRAUSAHA,"Projek Kreatif dan Kewirausahaan",,2,,ganjil,2025/2026,aktif,34
TEKNIK_PENGELASAN,"Teknik Pengelasan",,2,,ganjil,2025/2026,aktif,34
TEKNIK_MEKANIK_MESIN_INDUSTRI,"Teknik Mekanik Mesin Industri",,2,,ganjil,2025/2026,aktif,34
TEKNIK_PEMESINAN_FRAIS,"Teknik Pemesinan Frais",,2,,ganjil,2025/2026,aktif,35
PROJEK_KREATIF_DAN_KEWIRAUSAHA,"Projek Kreatif dan Kewirausahaan",,2,,ganjil,2025/2026,aktif,35
BAHASA_INDONESIA,"Bahasa Indonesia",,2,,ganjil,2025/2026,aktif,36
PROJEK_KREATIF_DAN_KEWIRAUSAHA,"Projek Kreatif dan Kewirausahaan",,2,,ganjil,2025/2026,aktif,36
ADMINISTRASI_UMUM,"Administrasi Umum",,2,,ganjil,2025/2026,aktif,37
PENGELOLAAN_SARANA_DAN_PRASARA,"Pengelolaan Sarana dan Prasarana",,2,,ganjil,2025/2026,aktif,37
PROJEK_KREATIF_DAN_KEWIRAUSAHA,"Projek Kreatif dan Kewirausahaan",,2,,ganjil,2025/2026,aktif,37
DASAR_TEKNIK_LOGISTIK_1,"Dasar Teknik Logistik-1",,2,,ganjil,2025/2026,aktif,39
TEKNIK_PENGADAAN_BARANG,"Teknik Pengadaan Barang",,2,,ganjil,2025/2026,aktif,39
PERDAGANGAN_INTERNASIONAL,"Perdagangan Internasional",,2,,ganjil,2025/2026,aktif,39
PROJEK_KREATIF_DAN_KEWIRAUSAHA,"Projek Kreatif dan Kewirausahaan",,2,,ganjil,2025/2026,aktif,39
DASAR_TEKNIK_MESIN_2,"Dasar Teknik Mesin-2",,2,,ganjil,2025/2026,aktif,39
DASAR_TEKNIK_LOGISTIK_2,"Dasar Teknik Logistik-2",,2,,ganjil,2025/2026,aktif,40
SISTEM_PERGUDANGAN,"Sistem Pergudangan",,2,,ganjil,2025/2026,aktif,40
TEKNIK_PENGIRIMAN_BARANG,"Teknik Pengiriman Barang",,2,,ganjil,2025/2026,aktif,40
SISTEM_INFORMASI_LOGISTIK,"Sistem Informasi Logistik",,2,,ganjil,2025/2026,aktif,40
BISNIS_RETAIL,"Bisnis Retail",,2,,ganjil,2025/2026,aktif,40
INFORMATIKA,Informatika,,2,,ganjil,2025/2026,aktif,41
PERANGKAT_LUNAK_DESAIN,"Perangkat Lunak desain",,2,,ganjil,2025/2026,aktif,41
